seqnames	start	end	width	strand	source	type	score	phase	gene_id	gene_type	gene_name	level	havana_gene	tag
1	162532127	162548551	16425	-	HAVANA	gene	NA	NA	ENSMUSG00000026694.19	protein_coding	Mettl13	2	OTTMUSG00000022659.4	NA
1	162570515	162599084	28570	+	HAVANA	gene	NA	NA	ENSMUSG00000026696.15	protein_coding	Vamp4	2	OTTMUSG00000033107.2	NA
1	162639155	162649693	10539	+	HAVANA	gene	NA	NA	ENSMUSG00000026697.10	protein_coding	Myoc	2	OTTMUSG00000051917.1	NA
1	162647193	162658219	11027	-	HAVANA	gene	NA	NA	ENSMUSG00000091060.2	protein_coding	RP24-388I23.2	2	OTTMUSG00000051918.1	NA
1	162670725	162740556	69832	-	HAVANA	gene	NA	NA	ENSMUSG00000040225.15	protein_coding	Prrc2c	1	OTTMUSG00000043447.13	ncRNA_host
1	162793188	162813972	20785	-	HAVANA	gene	NA	NA	ENSMUSG00000026692.12	protein_coding	Fmo4	2	OTTMUSG00000021469.4	NA
1	162829561	162866610	37050	-	HAVANA	gene	NA	NA	ENSMUSG00000040181.14	protein_coding	Fmo1	2	OTTMUSG00000024069.4	NA
1	162874317	162898726	24410	-	HAVANA	gene	NA	NA	ENSMUSG00000040170.13	protein_coding	Fmo2	2	OTTMUSG00000024135.3	NA
1	162916551	162937515	20965	-	HAVANA	gene	NA	NA	ENSMUSG00000095576.5	protein_coding	Fmo6	2	OTTMUSG00000051983.3	NA
1	162953800	162984528	30729	-	HAVANA	gene	NA	NA	ENSMUSG00000026691.10	protein_coding	Fmo3	2	OTTMUSG00000024141.2	NA
1	163024302	163085670	61369	-	HAVANA	gene	NA	NA	ENSMUSG00000071890.4	protein_coding	Mroh9	2	OTTMUSG00000050999.1	ncRNA_host
1	163245119	163313710	68592	-	HAVANA	gene	NA	NA	ENSMUSG00000026586.16	protein_coding	Prrx1	2	OTTMUSG00000037738.3	overlapping_locus
1	163384908	163403669	18762	-	HAVANA	gene	NA	NA	ENSMUSG00000040124.5	protein_coding	Gorab	2	OTTMUSG00000049704.1	NA
1	163702256	163725232	22977	-	HAVANA	gene	NA	NA	ENSMUSG00000040113.14	protein_coding	Mettl11b	2	OTTMUSG00000034802.2	NA
1	163779583	163917109	137527	+	HAVANA	gene	NA	NA	ENSMUSG00000026585.13	protein_coding	Kifap3	2	OTTMUSG00000018234.1	NA
1	163929100	163955126	26027	+	HAVANA	gene	NA	NA	ENSMUSG00000026584.14	protein_coding	Scyl3	2	OTTMUSG00000034804.2	NA
1	163945993	163994796	48804	-	HAVANA	gene	NA	NA	ENSMUSG00000041406.14	protein_coding	RP23-376B19.2	2	OTTMUSG00000034817.2	NA
1	163994889	163997243	2355	+	HAVANA	gene	NA	NA	ENSMUSG00000041396.13	protein_coding	Mettl18	2	OTTMUSG00000021827.1	NA
1	164048234	164057677	9444	+	HAVANA	gene	NA	NA	ENSMUSG00000026582.6	protein_coding	Sele	2	OTTMUSG00000050836.1	NA
1	164061982	164084181	22200	+	HAVANA	gene	NA	NA	ENSMUSG00000026581.14	protein_coding	Sell	2	OTTMUSG00000050837.1	NA
1	164115264	164150026	34763	+	HAVANA	gene	NA	NA	ENSMUSG00000026580.16	protein_coding	Selp	2	OTTMUSG00000034812.1	NA
1	164151838	164220277	68440	+	HAVANA	gene	NA	NA	ENSMUSG00000026579.8	protein_coding	F5	2	OTTMUSG00000034808.1	overlapping_locus
1	164249046	164265385	16340	+	HAVANA	gene	NA	NA	ENSMUSG00000040918.12	protein_coding	Slc19a2	2	OTTMUSG00000031583.4	NA
1	164275585	164287847	12263	+	HAVANA	gene	NA	NA	ENSMUSG00000026578.6	protein_coding	Ccdc181	2	OTTMUSG00000022174.1	NA
1	164289800	164307489	17690	-	HAVANA	gene	NA	NA	ENSMUSG00000026577.13	protein_coding	Blzf1	2	OTTMUSG00000029367.1	NA
1	164304121	164437725	133605	+	HAVANA	gene	NA	NA	ENSMUSG00000026575.15	protein_coding	Nme7	2	OTTMUSG00000050838.1	NA
1	164437109	164458355	21247	-	HAVANA	gene	NA	NA	ENSMUSG00000026576.12	protein_coding	Atp1b1	2	OTTMUSG00000049860.3	NA
1	164796644	164824266	27623	+	HAVANA	gene	NA	NA	ENSMUSG00000026574.5	protein_coding	Dpt	2	OTTMUSG00000049869.1	NA
1	164931644	164935527	3884	-	HAVANA	gene	NA	NA	ENSMUSG00000026573.7	protein_coding	Xcl1	2	OTTMUSG00000026875.1	NA
1	165137855	165160773	22919	-	HAVANA	gene	NA	NA	ENSMUSG00000026572.11	protein_coding	Tbx19	2	OTTMUSG00000034848.2	overlapping_locus
1	165174337	165194438	20102	-	HAVANA	gene	NA	NA	ENSMUSG00000040848.11	protein_coding	Sft2d2	2	OTTMUSG00000049874.1	NA
1	165212286	165236996	24711	-	HAVANA	gene	NA	NA	ENSMUSG00000040843.10	protein_coding	Tiprl	2	OTTMUSG00000029649.3	overlapping_locus
1	165295789	165326745	30957	+	HAVANA	gene	NA	NA	ENSMUSG00000040836.15	protein_coding	Gpr161	2	OTTMUSG00000049888.1	NA
1	165328698	165460475	131778	-	HAVANA	gene	NA	NA	ENSMUSG00000026571.12	protein_coding	Dcaf6	2	OTTMUSG00000037113.3	overlapping_locus
1	165460637	165481214	20578	+	HAVANA	gene	NA	NA	ENSMUSG00000026568.6	protein_coding	Mpc2	2	OTTMUSG00000022567.2	overlapping_locus
1	165485183	165576774	91592	+	HAVANA	gene	NA	NA	ENSMUSG00000026567.16	protein_coding	Adcy10	2	OTTMUSG00000021452.4	overlapping_locus
1	165592240	165634538	42299	-	HAVANA	gene	NA	NA	ENSMUSG00000026566.15	protein_coding	Mpzl1	1	OTTMUSG00000049918.2	overlapping_locus
1	165646516	165709757	63242	-	HAVANA	gene	NA	NA	ENSMUSG00000040723.14	protein_coding	Rcsd1	2	OTTMUSG00000050544.2	NA
1	165763746	165775308	11563	+	HAVANA	gene	NA	NA	ENSMUSG00000040713.12	protein_coding	Creg1	2	OTTMUSG00000021575.3	NA
1	165788681	165877277	88597	+	HAVANA	gene	NA	NA	ENSMUSG00000005763.15	protein_coding	Cd247	2	OTTMUSG00000034863.5	overlapping_locus
1	165865154	166002678	137525	-	HAVANA	gene	NA	NA	ENSMUSG00000026565.18	protein_coding	Pou2f1	2	OTTMUSG00000034833.8	NA
1	166098148	166127922	29775	-	HAVANA	gene	NA	NA	ENSMUSG00000026564.9	protein_coding	Dusp27	2	OTTMUSG00000050554.1	NA
1	166130238	166166510	36273	+	HAVANA	gene	NA	NA	ENSMUSG00000000544.14	protein_coding	Gpa33	2	OTTMUSG00000016903.3	NA
1	166201201	166238747	37547	-	HAVANA	gene	NA	NA	ENSMUSG00000040629.8	protein_coding	Mael	2	OTTMUSG00000026876.2	NA
1	166254139	166316823	62685	+	HAVANA	gene	NA	NA	ENSMUSG00000040612.13	protein_coding	Ildr2	1	OTTMUSG00000021748.2	NA
1	166379097	166393621	14525	+	HAVANA	gene	NA	NA	ENSMUSG00000026563.13	protein_coding	Tada1	2	OTTMUSG00000026881.2	NA
1	166384622	166409863	25242	-	HAVANA	gene	NA	NA	ENSMUSG00000040596.15	protein_coding	Pogk	2	OTTMUSG00000026882.5	NA
1	166483613	166497588	13976	-	HAVANA	gene	NA	NA	ENSMUSG00000086056.1	protein_coding	AC161807.5	2	OTTMUSG00000033784.1	NA
1	166628971	166647693	18723	-	HAVANA	gene	NA	NA	ENSMUSG00000051081.7	protein_coding	AC140979.2	1	OTTMUSG00000029828.1	NA
1	166662055	166681845	19791	-	HAVANA	gene	NA	NA	ENSMUSG00000026560.13	protein_coding	Fmo9	2	OTTMUSG00000022566.3	NA
1	167001417	167091302	89886	+	HAVANA	gene	NA	NA	ENSMUSG00000060568.14	protein_coding	Fam78b	2	OTTMUSG00000033956.3	NA
1	167222883	167285320	62438	-	HAVANA	gene	NA	NA	ENSMUSG00000026558.13	protein_coding	Uck2	2	OTTMUSG00000050631.1	NA
1	167308378	167333978	25601	+	HAVANA	gene	NA	NA	ENSMUSG00000052428.10	protein_coding	Tmco1	2	OTTMUSG00000050635.1	NA
1	167349991	167368532	18542	+	HAVANA	gene	NA	NA	ENSMUSG00000026687.14	protein_coding	Aldh9a1	2	OTTMUSG00000050636.1	NA
1	167371966	167393841	21876	-	HAVANA	gene	NA	NA	ENSMUSG00000026688.5	protein_coding	Mgst3	2	OTTMUSG00000022623.2	NA
1	167445669	167466780	21112	-	HAVANA	gene	NA	NA	ENSMUSG00000040485.5	protein_coding	Lrrc52	2	OTTMUSG00000050637.1	NA
1	167598384	167639623	41240	+	HAVANA	gene	NA	NA	ENSMUSG00000015843.10	protein_coding	Rxrg	2	OTTMUSG00000022560.2	NA
1	167689237	167848741	159505	+	HAVANA	gene	NA	NA	ENSMUSG00000026686.14	protein_coding	Lmx1a	2	OTTMUSG00000020906.2	NA
1	168119364	168432270	312907	-	HAVANA	gene	NA	NA	ENSMUSG00000052534.15	protein_coding	Pbx1	1	OTTMUSG00000040100.7	overlapping_locus
1	169497934	169531464	33531	-	HAVANA	gene	NA	NA	ENSMUSG00000026683.14	protein_coding	Nuf2	2	OTTMUSG00000049910.2	NA
1	169655501	169695813	40313	+	HAVANA	gene	NA	NA	ENSMUSG00000026678.10	protein_coding	Rgs5	2	OTTMUSG00000020901.2	NA
1	169741477	169747642	6166	-	HAVANA	gene	NA	NA	ENSMUSG00000038530.11	protein_coding	Rgs4	2	OTTMUSG00000020909.1	NA
1	169928648	169934653	6006	+	HAVANA	gene	NA	NA	ENSMUSG00000070532.5	protein_coding	Ccdc190	2	OTTMUSG00000026878.3	NA
1	169949535	169969241	19707	-	HAVANA	gene	NA	NA	ENSMUSG00000026675.12	protein_coding	Hsd17b7	2	OTTMUSG00000020778.2	NA
1	169972307	170110762	138456	-	HAVANA	gene	NA	NA	ENSMUSG00000026674.9	protein_coding	Ddr2	2	OTTMUSG00000049937.2	NA
1	170141938	170174957	33020	-	HAVANA	gene	NA	NA	ENSMUSG00000026670.15	protein_coding	Uap1	2	OTTMUSG00000023030.3	NA
1	170193420	170215397	21978	-	HAVANA	gene	NA	NA	ENSMUSG00000026667.14	protein_coding	Uhmk1	1	OTTMUSG00000021543.1	NA
1	170232749	170253608	20860	+	HAVANA	gene	NA	NA	ENSMUSG00000073494.5	protein_coding	Sh2d1b2	2	OTTMUSG00000019331.2	NA
1	170277320	170286769	9450	+	HAVANA	gene	NA	NA	ENSMUSG00000102418.1	protein_coding	Sh2d1b1	2	OTTMUSG00000049940.1	NA
1	170298199	170306332	8134	-	HAVANA	gene	NA	NA	ENSMUSG00000102752.1	protein_coding	RP23-124N16.6	2	OTTMUSG00000049941.1	overlapping_locus
1	170302668	170589861	287194	-	HAVANA	gene	NA	NA	ENSMUSG00000038473.14	protein_coding	Nos1ap	2	OTTMUSG00000029837.9	overlapping_locus
1	170308803	170312125	3323	+	HAVANA	gene	NA	NA	ENSMUSG00000042800.5	protein_coding	Spata46	2	OTTMUSG00000039913.1	NA
1	170644532	170682789	38258	+	HAVANA	gene	NA	NA	ENSMUSG00000038463.8	protein_coding	Olfml2b	2	OTTMUSG00000026879.1	NA
1	170704674	170867771	163098	-	HAVANA	gene	NA	NA	ENSMUSG00000026663.6	protein_coding	Atf6	2	OTTMUSG00000043564.1	ncRNA_host
1	170873498	170885540	12043	-	HAVANA	gene	NA	NA	ENSMUSG00000026659.13	protein_coding	Dusp12	1	OTTMUSG00000035839.2	NA
1	170885065	170885881	817	+	ENSEMBL	gene	NA	NA	ENSMUSG00000096968.1	protein_coding	Gm26620	3	NA	NA
1	170907273	170912941	5669	-	HAVANA	gene	NA	NA	ENSMUSG00000070524.1	protein_coding	Fcrlb	2	OTTMUSG00000049943.2	NA
1	170917576	170927583	10008	-	HAVANA	gene	NA	NA	ENSMUSG00000038421.13	protein_coding	Fcrla	2	OTTMUSG00000029894.5	overlapping_locus
1	170958617	170976547	17931	-	HAVANA	gene	NA	NA	ENSMUSG00000026656.15	protein_coding	Fcgr2b	2	OTTMUSG00000021775.3	NA
1	171018920	171029761	10842	+	HAVANA	gene	NA	NA	ENSMUSG00000059089.4	protein_coding	Fcgr4	2	OTTMUSG00000022168.1	ncRNA_host
1	171051174	171064935	13762	-	HAVANA	gene	NA	NA	ENSMUSG00000059498.13	protein_coding	Fcgr3	2	OTTMUSG00000035155.2	ncRNA_host
1	171113918	171126967	13050	+	HAVANA	gene	NA	NA	ENSMUSG00000026649.14	protein_coding	Cfap126	2	OTTMUSG00000021658.4	NA
1	171127165	171150603	23439	-	HAVANA	gene	NA	NA	ENSMUSG00000058076.12	protein_coding	Sdhc	2	OTTMUSG00000021661.2	NA
1	171150711	171161130	10420	+	HAVANA	gene	NA	NA	ENSMUSG00000056569.10	protein_coding	Mpz	2	OTTMUSG00000021546.1	NA
1	171173262	171196268	23007	-	HAVANA	gene	NA	NA	ENSMUSG00000038370.6	protein_coding	Pcp4l1	2	OTTMUSG00000021662.1	NA
1	171213970	171220701	6732	+	HAVANA	gene	NA	NA	ENSMUSG00000005677.14	protein_coding	Nr1i3	2	OTTMUSG00000022426.4	NA
1	171216011	171222514	6504	-	HAVANA	gene	NA	NA	ENSMUSG00000005674.9	protein_coding	Tomm40l	2	OTTMUSG00000021586.4	NA
1	171225054	171226379	1326	+	HAVANA	gene	NA	NA	ENSMUSG00000005681.12	protein_coding	Apoa2	2	OTTMUSG00000021666.2	NA
1	171229572	171234365	4794	-	HAVANA	gene	NA	NA	ENSMUSG00000058715.11	protein_coding	Fcer1g	2	OTTMUSG00000021504.2	NA
1	171234853	171251388	16536	-	HAVANA	gene	NA	NA	ENSMUSG00000013593.12	protein_coding	Ndufs2	1	OTTMUSG00000021571.4	NA
1	171250421	171260637	10217	+	HAVANA	gene	NA	NA	ENSMUSG00000006403.13	protein_coding	Adamts4	2	OTTMUSG00000021528.3	NA
1	171270328	171276896	6569	+	HAVANA	gene	NA	NA	ENSMUSG00000052423.14	protein_coding	B4galt3	2	OTTMUSG00000021683.5	NA
1	171275990	171281186	5197	-	HAVANA	gene	NA	NA	ENSMUSG00000062729.11	protein_coding	Ppox	1	OTTMUSG00000021555.2	NA
1	171281945	171287991	6047	-	HAVANA	gene	NA	NA	ENSMUSG00000053483.13	protein_coding	Usp21	1	OTTMUSG00000021702.4	NA
1	171288563	171295024	6462	-	HAVANA	gene	NA	NA	ENSMUSG00000062963.10	protein_coding	Ufc1	2	OTTMUSG00000021650.2	NA
1	171329145	171342331	13187	+	HAVANA	gene	NA	NA	ENSMUSG00000013973.12	protein_coding	Dedd	2	OTTMUSG00000021703.3	NA
1	171338008	171345646	7639	-	HAVANA	gene	NA	NA	ENSMUSG00000013997.10	protein_coding	Nit1	2	OTTMUSG00000021715.3	NA
1	171345670	171359254	13585	+	HAVANA	gene	NA	NA	ENSMUSG00000006412.10	protein_coding	Pfdn2	2	OTTMUSG00000021718.1	NA
1	171358446	171360798	2353	-	HAVANA	gene	NA	NA	ENSMUSG00000045259.4	protein_coding	Klhdc9	2	OTTMUSG00000021557.1	NA
1	171370099	171388598	18500	+	HAVANA	gene	NA	NA	ENSMUSG00000006411.12	protein_coding	Pvrl4	2	OTTMUSG00000021602.3	NA
1	171388954	171410298	21345	+	HAVANA	gene	NA	NA	ENSMUSG00000048865.16	protein_coding	Arhgap30	2	OTTMUSG00000021534.2	NA
1	171411313	171419142	7830	+	HAVANA	gene	NA	NA	ENSMUSG00000026641.13	protein_coding	Usf1	2	OTTMUSG00000030990.5	overlapping_locus
1	171418872	171420352	1481	+	HAVANA	gene	NA	NA	ENSMUSG00000103711.1	protein_coding	Tstd1	2	OTTMUSG00000050080.1	overlapping_locus
1	171437535	171464603	27069	+	HAVANA	gene	NA	NA	ENSMUSG00000038235.4	protein_coding	F11r	2	OTTMUSG00000021724.1	NA
1	171503478	171504750	1273	+	HAVANA	gene	NA	NA	ENSMUSG00000060244.1	protein_coding	Alyref2	2	OTTMUSG00000050081.1	NA
1	171518122	171535294	17173	-	HAVANA	gene	NA	NA	ENSMUSG00000038209.12	protein_coding	Itln1	2	OTTMUSG00000036496.2	NA
1	171559193	171609746	50554	+	HAVANA	gene	NA	NA	ENSMUSG00000004709.14	protein_coding	Cd244	2	OTTMUSG00000016914.2	NA
1	171588624	171607410	18787	-	HAVANA	gene	NA	NA	ENSMUSG00000004707.14	protein_coding	Ly9	1	OTTMUSG00000016916.3	NA
1	171632403	171653035	20633	-	HAVANA	gene	NA	NA	ENSMUSG00000038179.13	protein_coding	Slamf7	2	OTTMUSG00000050083.1	ncRNA_host
1	171682009	171705258	23250	+	HAVANA	gene	NA	NA	ENSMUSG00000015355.13	protein_coding	Cd48	2	OTTMUSG00000016904.2	NA
1	171767127	171801184	34058	+	HAVANA	gene	NA	NA	ENSMUSG00000015316.11	protein_coding	Slamf1	2	OTTMUSG00000035822.2	NA
1	171839697	171890718	51022	+	HAVANA	gene	NA	NA	ENSMUSG00000038147.13	protein_coding	Cd84	2	OTTMUSG00000026928.3	NA
1	171895664	171898237	2574	+	ENSEMBL	gene	NA	NA	ENSMUSG00000073492.2	protein_coding	Gm10521	3	NA	NA
1	171917515	171953170	35656	+	HAVANA	gene	NA	NA	ENSMUSG00000015314.10	protein_coding	Slamf6	2	OTTMUSG00000050091.2	NA
1	172000960	172028444	27485	-	HAVANA	gene	NA	NA	ENSMUSG00000026556.15	protein_coding	Vangl2	2	OTTMUSG00000021582.3	NA
1	172052292	172057573	5282	-	HAVANA	gene	NA	NA	ENSMUSG00000051251.3	protein_coding	Nhlh1	2	OTTMUSG00000033453.1	NA
1	172066013	172082795	16783	-	HAVANA	gene	NA	NA	ENSMUSG00000003458.12	protein_coding	Ncstn	2	OTTMUSG00000021508.2	NA
1	172082529	172122330	39802	+	HAVANA	gene	NA	NA	ENSMUSG00000026553.17	protein_coding	Copa	2	OTTMUSG00000033968.2	NA
1	172126755	172136493	9739	+	HAVANA	gene	NA	NA	ENSMUSG00000003464.13	protein_coding	Pex19	2	OTTMUSG00000029601.1	NA
1	172148084	172197005	48922	+	HAVANA	gene	NA	NA	ENSMUSG00000026554.15	protein_coding	Dcaf8	1	OTTMUSG00000050094.2	NA
1	172196728	172206804	10077	-	HAVANA	gene	NA	NA	ENSMUSG00000013698.12	protein_coding	Pea15a	2	OTTMUSG00000022139.2	NA
1	172209894	172219868	9975	-	HAVANA	gene	NA	NA	ENSMUSG00000007122.11	protein_coding	Casq1	1	OTTMUSG00000035165.2	NA
1	172223513	172258414	34902	-	HAVANA	gene	NA	NA	ENSMUSG00000007107.6	protein_coding	Atp1a4	2	OTTMUSG00000021836.2	NA
1	172261641	172319841	58201	+	HAVANA	gene	NA	NA	ENSMUSG00000038034.15	protein_coding	Igsf8	1	OTTMUSG00000021443.4	NA
1	172271709	172298064	26356	-	HAVANA	gene	NA	NA	ENSMUSG00000007097.14	protein_coding	Atp1a2	2	OTTMUSG00000021834.2	NA
1	172320501	172329318	8818	-	HAVANA	gene	NA	NA	ENSMUSG00000038026.12	protein_coding	Kcnj9	2	OTTMUSG00000050096.1	NA
1	172341210	172374085	32876	+	HAVANA	gene	NA	NA	ENSMUSG00000044708.5	protein_coding	Kcnj10	2	OTTMUSG00000050148.1	NA
1	172376546	172384099	7554	+	HAVANA	gene	NA	NA	ENSMUSG00000050229.3	protein_coding	Pigm	2	OTTMUSG00000050149.1	NA
1	172475358	172478575	3218	+	HAVANA	gene	NA	NA	ENSMUSG00000026548.4	protein_coding	Slamf9	2	OTTMUSG00000021429.1	NA
1	172481788	172498878	17091	+	HAVANA	gene	NA	NA	ENSMUSG00000037995.15	protein_coding	Igsf9	2	OTTMUSG00000033897.3	NA
1	172500047	172507380	7334	+	HAVANA	gene	NA	NA	ENSMUSG00000026547.15	protein_coding	Tagln2	2	OTTMUSG00000021616.3	NA
1	172520801	172545870	25070	+	HAVANA	gene	NA	NA	ENSMUSG00000026546.16	protein_coding	Cfap45	1	OTTMUSG00000034521.6	NA
1	172555938	172563717	7780	+	HAVANA	gene	NA	NA	ENSMUSG00000049598.9	protein_coding	Vsig8	2	OTTMUSG00000036736.2	NA
1	172581758	172590568	8811	-	HAVANA	gene	NA	NA	ENSMUSG00000053318.7	protein_coding	Slamf8	2	OTTMUSG00000050153.1	NA
1	172596642	172602551	5910	-	HAVANA	gene	NA	NA	ENSMUSG00000070504.9	protein_coding	Fcrl6	2	OTTMUSG00000050154.1	NA
1	172630764	172632962	2199	-	HAVANA	gene	NA	NA	ENSMUSG00000026544.6	protein_coding	Dusp23	2	OTTMUSG00000050155.1	NA
1	172698055	172833031	134977	+	HAVANA	gene	NA	NA	ENSMUSG00000037942.5	protein_coding	Crp	2	OTTMUSG00000050157.1	NA
1	172893961	172895041	1081	-	HAVANA	gene	NA	NA	ENSMUSG00000026542.6	protein_coding	Apcs	2	OTTMUSG00000050160.1	NA
1	172950409	172958357	7949	+	HAVANA	gene	NA	NA	ENSMUSG00000037924.6	protein_coding	Olfr16	2	OTTMUSG00000050161.3	NA
1	173128049	173137374	9326	-	HAVANA	gene	NA	NA	ENSMUSG00000062527.6	protein_coding	Olfr1408	2	OTTMUSG00000050163.3	NA
1	173181853	173190640	8788	-	HAVANA	gene	NA	NA	ENSMUSG00000058981.4	protein_coding	Olfr1406	2	OTTMUSG00000050165.5	NA
1	173197808	173206336	8529	+	HAVANA	gene	NA	NA	ENSMUSG00000046643.2	protein_coding	Olfr218	2	OTTMUSG00000050166.3	NA
1	173212392	173218583	6192	+	HAVANA	gene	NA	NA	ENSMUSG00000049456.3	protein_coding	Olfr1404	2	OTTMUSG00000050167.2	NA
1	173221284	173227214	5931	-	HAVANA	gene	NA	NA	ENSMUSG00000005339.10	protein_coding	Fcer1a	1	OTTMUSG00000050168.1	NA
1	173266001	173273994	7994	+	HAVANA	gene	NA	NA	ENSMUSG00000049605.3	protein_coding	Olfr418	2	OTTMUSG00000050169.2	NA
1	173274382	173277777	3396	-	HAVANA	gene	NA	NA	ENSMUSG00000079180.4	protein_coding	Mptx2	2	OTTMUSG00000050170.1	NA
1	173331886	173333750	1865	-	HAVANA	gene	NA	NA	ENSMUSG00000037872.5	protein_coding	Ackr1	2	OTTMUSG00000050197.1	overlapping_locus
1	173333258	173367695	34438	-	HAVANA	gene	NA	NA	ENSMUSG00000005338.13	protein_coding	Cadm3	2	OTTMUSG00000024341.3	overlapping_locus
1	173350879	173466040	115162	+	HAVANA	gene	NA	NA	ENSMUSG00000037860.15	protein_coding	Aim2	2	OTTMUSG00000033253.7	NA
1	173468485	173491041	22557	-	HAVANA	gene	NA	NA	ENSMUSG00000037849.8	protein_coding	RP23-85A8.1	2	OTTMUSG00000034635.6	NA
1	173519717	173535957	16241	-	HAVANA	gene	NA	NA	ENSMUSG00000070501.14	protein_coding	Ifi214	2	OTTMUSG00000033419.3	NA
1	173566283	173599274	32992	-	HAVANA	gene	NA	NA	ENSMUSG00000073491.11	protein_coding	Ifi213	1	OTTMUSG00000033987.6	NA
1	173630917	173647928	17012	+	HAVANA	gene	NA	NA	ENSMUSG00000043263.13	protein_coding	Ifi209	2	OTTMUSG00000050198.1	NA
1	173673675	173698395	24721	+	HAVANA	gene	NA	NA	ENSMUSG00000066677.12	protein_coding	Ifi208	2	OTTMUSG00000033992.4	NA
1	173723427	173741747	18321	-	HAVANA	gene	NA	NA	ENSMUSG00000073490.11	protein_coding	Ifi207	2	OTTMUSG00000033916.2	NA
1	173747293	173766943	19651	-	HAVANA	gene	NA	NA	ENSMUSG00000073489.6	protein_coding	Ifi204	2	OTTMUSG00000033920.3	NA
1	173849126	173942491	93366	-	HAVANA	gene	NA	NA	ENSMUSG00000090272.8	protein_coding	Mndal	2	OTTMUSG00000045572.12	NA
1	173896345	173913046	16702	-	HAVANA	gene	NA	NA	ENSMUSG00000026536.9	protein_coding	Mnda	2	OTTMUSG00000050203.1	NA
1	173920407	173942672	22266	-	HAVANA	gene	NA	NA	ENSMUSG00000039997.16	protein_coding	Ifi203	1	OTTMUSG00000026980.5	NA
1	173962568	173982744	20177	-	HAVANA	gene	NA	NA	ENSMUSG00000026535.9	protein_coding	Ifi202b	2	OTTMUSG00000050204.1	NA
1	174011998	174031810	19813	-	HAVANA	gene	NA	NA	ENSMUSG00000054203.7	protein_coding	Ifi205	2	OTTMUSG00000050206.1	NA
1	174040705	174044411	3707	+	HAVANA	gene	NA	NA	ENSMUSG00000045381.6	protein_coding	Olfr433	2	OTTMUSG00000050207.3	NA
1	174049205	174054752	5548	+	HAVANA	gene	NA	NA	ENSMUSG00000047048.4	protein_coding	Olfr432	2	OTTMUSG00000050208.3	overlapping_locus
1	174066605	174072273	5669	+	HAVANA	gene	NA	NA	ENSMUSG00000050134.7	protein_coding	Olfr430	2	OTTMUSG00000050210.3	NA
1	174084331	174091343	7013	+	HAVANA	gene	NA	NA	ENSMUSG00000049528.7	protein_coding	Olfr429	2	OTTMUSG00000050211.5	NA
1	174096891	174103224	6334	+	HAVANA	gene	NA	NA	ENSMUSG00000059371.4	protein_coding	Olfr427	2	OTTMUSG00000050212.3	NA
1	174113211	174121162	7952	-	HAVANA	gene	NA	NA	ENSMUSG00000046486.4	protein_coding	Olfr231	2	OTTMUSG00000050214.3	NA
1	174131517	174138257	6741	+	HAVANA	gene	NA	NA	ENSMUSG00000051528.4	protein_coding	Olfr424	2	OTTMUSG00000050215.3	NA
1	174155633	174162195	6563	+	HAVANA	gene	NA	NA	ENSMUSG00000055033.4	protein_coding	Olfr420	2	OTTMUSG00000050217.2	NA
1	174172776	174248450	75675	+	HAVANA	gene	NA	NA	ENSMUSG00000026532.7	protein_coding	Spta1	2	OTTMUSG00000029638.2	NA
1	174248514	174252061	3548	-	HAVANA	gene	NA	NA	ENSMUSG00000050788.5	protein_coding	Olfr419	2	OTTMUSG00000050218.2	NA
1	174330518	174332873	2356	+	HAVANA	gene	NA	NA	ENSMUSG00000026531.4	protein_coding	Mptx1	2	OTTMUSG00000034865.1	NA
1	174365122	174374472	9351	+	HAVANA	gene	NA	NA	ENSMUSG00000066672.2	protein_coding	Olfr417	2	OTTMUSG00000050219.5	NA
1	174391046	174392055	1010	+	HAVANA	gene	NA	NA	ENSMUSG00000059503.2	protein_coding	Olfr248	2	OTTMUSG00000050221.2	NA
1	174424064	174434747	10684	+	HAVANA	gene	NA	NA	ENSMUSG00000051509.6	protein_coding	Olfr414	2	OTTMUSG00000050222.2	NA
1	174442082	174451277	9196	+	HAVANA	gene	NA	NA	ENSMUSG00000066671.4	protein_coding	Olfr220	2	OTTMUSG00000050223.3	NA
1	174501825	174822729	320905	+	HAVANA	gene	NA	NA	ENSMUSG00000028354.13	protein_coding	Fmn2	2	OTTMUSG00000050244.2	NA
1	174833785	174921819	88035	-	HAVANA	gene	NA	NA	ENSMUSG00000050069.3	protein_coding	Grem2	2	OTTMUSG00000022494.1	NA
1	175059087	175492500	433414	-	HAVANA	gene	NA	NA	ENSMUSG00000026527.13	protein_coding	Rgs7	2	OTTMUSG00000050245.1	NA
1	175600374	175625635	25262	-	HAVANA	gene	NA	NA	ENSMUSG00000026526.14	protein_coding	Fh1	2	OTTMUSG00000025588.3	NA
1	175620381	175662116	41736	+	HAVANA	gene	NA	NA	ENSMUSG00000039783.15	protein_coding	Kmo	1	OTTMUSG00000025589.1	NA
1	175662421	175692776	30356	-	HAVANA	gene	NA	NA	ENSMUSG00000026525.9	protein_coding	Opn3	2	OTTMUSG00000021478.3	overlapping_locus
1	175682237	175692901	10665	-	HAVANA	gene	NA	NA	ENSMUSG00000078185.3	protein_coding	Chml	2	OTTMUSG00000021480.3	overlapping_locus
1	175698593	175815734	117142	+	HAVANA	gene	NA	NA	ENSMUSG00000026523.14	protein_coding	Wdr64	2	OTTMUSG00000050252.2	ncRNA_host
